,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
,,,,,,,5.68E+01,0.00E+00,4.94E-01,0.00E+00,1.58E+03,,,,,,,,,,
,,,,,,,5.83E+01,0.00E+00,4.94E-01,0.00E+00,1.58E+03,,,,,,,,,,
,,,,,,,5.98E+01,0.00E+00,4.94E-01,0.00E+00,1.58E+03,,,,,,,,,,
,,,,,,,6.14E+01,0.00E+00,4.94E-01,0.00E+00,1.58E+03,,,,,,,,,,
,,,,,,,6.30E+01,0.00E+00,4.94E-01,0.00E+00,1.58E+03,,,,,,,,,,
,,,,,,,6.46E+01,0.00E+00,4.94E-01,0.00E+00,1.58E+03,,,,,,,,,,
,,,,,,,6.63E+01,1.51E-09,4.94E-01,4.55E-07,1.58E+03,,,,,,,,,,
,,,,,,,6.80E+01,4.80E-08,4.94E-01,1.41E-05,1.58E+03,,,,,,,,,,
,,,,,,,6.98E+01,1.91E-07,4.94E-01,5.47E-05,1.58E+03,,,,,,,,,,
,,,,,,,7.16E+01,5.09E-07,4.94E-01,1.42E-04,1.58E+03,,,,,,,,,,
,,,,,,,7.34E+01,1.03E-06,4.94E-01,2.82E-04,1.58E+03,,,,,,,,,,
,,,,,,,7.53E+01,1.79E-06,4.94E-01,4.74E-04,1.58E+03,,,,,,,,,,
,,,,,,,7.73E+01,2.79E-06,4.94E-01,7.22E-04,1.58E+03,,,,,,,,,,
,,,,,,,7.93E+01,3.97E-06,4.94E-01,1.00E-03,1.58E+03,,,,,,,,,,
,,,,,,,8.13E+01,5.34E-06,4.94E-01,1.31E-03,1.58E+03,,,,,,,,,,
,,,,,,,8.34E+01,6.83E-06,4.94E-01,1.64E-03,1.58E+03,,,,,,,,,,
,,,,,,,8.56E+01,8.36E-06,4.94E-01,1.95E-03,1.58E+03,,,,,,,,,,
,,,,,,,8.78E+01,9.88E-06,4.94E-01,2.25E-03,1.58E+03,,,,,,,,,,
,,,,,,,9.01E+01,1.13E-05,4.94E-01,2.51E-03,1.58E+03,,,,,,,,,,
,,,,,,,9.24E+01,1.27E-05,4.94E-01,2.74E-03,1.58E+03,,,,,,,,,,
,,,,,,,9.48E+01,1.39E-05,4.94E-01,2.92E-03,1.58E+03,,,,,,,,,,
,,,,,,,9.73E+01,1.49E-05,4.94E-01,3.06E-03,1.58E+03,,,,,,,,,,
,,,,,,,9.98E+01,1.58E-05,4.94E-01,3.16E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.02E+02,1.64E-05,4.94E-01,3.21E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.05E+02,1.70E-05,4.94E-01,3.23E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.08E+02,1.74E-05,4.94E-01,3.23E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.11E+02,1.77E-05,4.94E-01,3.20E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.13E+02,1.80E-05,4.94E-01,3.17E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.16E+02,1.82E-05,4.94E-01,3.13E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.19E+02,1.85E-05,4.94E-01,3.09E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.22E+02,1.87E-05,4.94E-01,3.06E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.26E+02,1.90E-05,4.94E-01,3.03E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.29E+02,1.94E-05,4.94E-01,3.01E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.32E+02,1.98E-05,4.95E-01,2.99E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.36E+02,2.03E-05,4.95E-01,2.99E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.39E+02,2.08E-05,4.95E-01,2.98E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.43E+02,2.13E-05,4.95E-01,2.98E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.46E+02,2.19E-05,4.95E-01,2.99E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.50E+02,2.25E-05,4.95E-01,2.99E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.54E+02,2.30E-05,4.95E-01,2.99E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.58E+02,2.36E-05,4.95E-01,2.98E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.62E+02,2.40E-05,4.95E-01,2.96E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.66E+02,2.44E-05,4.95E-01,2.93E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.71E+02,2.47E-05,4.95E-01,2.89E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.75E+02,2.48E-05,4.96E-01,2.83E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.80E+02,2.47E-05,4.96E-01,2.75E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.84E+02,2.44E-05,4.96E-01,2.64E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.89E+02,2.38E-05,4.96E-01,2.51E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.94E+02,2.29E-05,4.96E-01,2.36E-03,1.58E+03,,,,,,,,,,
,,,,,,,1.99E+02,2.18E-05,4.96E-01,2.19E-03,1.58E+03,,,,,,,,,,
,,,,,,,2.04E+02,2.04E-05,4.96E-01,1.99E-03,1.58E+03,,,,,,,,,,
,,,,,,,2.10E+02,1.88E-05,4.96E-01,1.79E-03,1.58E+03,,,,,,,,,,
,,,,,,,2.15E+02,1.71E-05,4.96E-01,1.60E-03,1.58E+03,,,,,,,,,,
,,,,,,,2.21E+02,1.55E-05,4.97E-01,1.41E-03,1.58E+03,,,,,,,,,,
,,,,,,,2.26E+02,1.41E-05,4.97E-01,1.25E-03,1.58E+03,,,,,,,,,,
,,,,,,,2.32E+02,1.30E-05,4.97E-01,1.12E-03,1.58E+03,,,,,,,,,,
,,,,,,,2.38E+02,1.24E-05,4.97E-01,1.04E-03,1.58E+03,,,,,,,,,,
,,,,,,,2.44E+02,1.24E-05,4.97E-01,1.01E-03,1.58E+03,,,,,,,,,,
,,,,,,,2.51E+02,1.31E-05,4.97E-01,1.05E-03,1.58E+03,,,,,,,,,,
,,,,,,,2.57E+02,1.46E-05,4.97E-01,1.14E-03,1.58E+03,,,,,,,,,,
,,,,,,,2.64E+02,1.69E-05,4.97E-01,1.28E-03,1.58E+03,,,,,,,,,,
,,,,,,,2.71E+02,1.98E-05,4.97E-01,1.46E-03,1.58E+03,,,,,,,,,,
,,,,,,,2.78E+02,2.33E-05,4.97E-01,1.68E-03,1.58E+03,,,,,,,,,,
,,,,,,,2.85E+02,2.71E-05,4.98E-01,1.90E-03,1.58E+03,,,,,,,,,,
,,,,,,,2.92E+02,3.11E-05,4.98E-01,2.13E-03,1.58E+03,,,,,,,,,,
,,,,,,,3.00E+02,3.51E-05,4.98E-01,2.34E-03,1.58E+03,,,,,,,,,,
,,,,,,,3.08E+02,3.88E-05,4.98E-01,2.53E-03,1.58E+03,,,,,,,,,,
,,,,,,,3.16E+02,4.20E-05,4.99E-01,2.66E-03,1.58E+03,,,,,,,,,,
,,,,,,,3.24E+02,4.44E-05,4.99E-01,2.75E-03,1.58E+03,,,,,,,,,,
,,,,,,,3.32E+02,4.59E-05,4.99E-01,2.77E-03,1.58E+03,,,,,,,,,,
,,,,,,,3.41E+02,4.65E-05,5.00E-01,2.73E-03,1.58E+03,,,,,,,,,,
,,,,,,,3.49E+02,4.59E-05,5.00E-01,2.63E-03,1.58E+03,,,,,,,,,,
,,,,,,,3.59E+02,4.45E-05,5.01E-01,2.48E-03,1.58E+03,,,,,,,,,,
,,,,,,,3.68E+02,4.20E-05,5.01E-01,2.28E-03,1.58E+03,,,,,,,,,,
,,,,,,,3.77E+02,3.87E-05,5.01E-01,2.05E-03,1.58E+03,,,,,,,,,,
,,,,,,,3.87E+02,3.47E-05,5.02E-01,1.79E-03,1.58E+03,,,,,,,,,,
,,,,,,,3.97E+02,3.01E-05,5.02E-01,1.52E-03,1.58E+03,,,,,,,,,,
,,,,,,,4.07E+02,2.52E-05,5.02E-01,1.24E-03,1.58E+03,,,,,,,,,,
,,,,,,,4.18E+02,2.02E-05,5.03E-01,9.66E-04,1.58E+03,,,,,,,,,,
,,,,,,,4.29E+02,1.52E-05,5.03E-01,7.07E-04,1.58E+03,,,,,,,,,,
,,,,,,,4.40E+02,1.04E-05,5.03E-01,4.74E-04,1.58E+03,,,,,,,,,,
,,,,,,,4.51E+02,6.10E-06,5.03E-01,2.70E-04,1.58E+03,,,,,,,,,,
,,,,,,,4.63E+02,2.76E-06,5.03E-01,1.19E-04,1.58E+03,,,,,,,,,,
,,,,,,,4.75E+02,7.96E-07,5.03E-01,3.35E-05,1.58E+03,,,,,,,,,,
,,,,,,,4.87E+02,0.00E+00,5.03E-01,0.00E+00,1.58E+03,,,,,,,,,,
