,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit,
,,,,,,,1.105413e+002,6.115955e-005,5.875993e-001,1.106546e-002,1.878751e+003,,,,,,,,,,,
,,,,,,,1.134054e+002,5.894685e-005,5.877712e-001,1.039577e-002,1.878782e+003,,,,,,,,,,,
,,,,,,,1.163438e+002,5.684797e-005,5.879413e-001,9.772414e-003,1.878811e+003,,,,,,,,,,,
,,,,,,,1.193582e+002,5.488255e-005,5.881096e-001,9.196274e-003,1.878840e+003,,,,,,,,,,,
,,,,,,,1.224508e+002,5.306461e-005,5.882765e-001,8.667091e-003,1.878867e+003,,,,,,,,,,,
,,,,,,,1.256235e+002,5.138383e-005,5.884421e-001,8.180608e-003,1.878894e+003,,,,,,,,,,,
,,,,,,,1.288784e+002,4.984010e-005,5.886068e-001,7.734438e-003,1.878920e+003,,,,,,,,,,,
,,,,,,,1.322176e+002,4.842111e-005,5.887709e-001,7.324456e-003,1.878945e+003,,,,,,,,,,,
,,,,,,,1.356434e+002,4.711879e-005,5.889345e-001,6.947452e-003,1.878970e+003,,,,,,,,,,,
,,,,,,,1.391579e+002,4.592502e-005,5.890979e-001,6.600419e-003,1.878993e+003,,,,,,,,,,,
,,,,,,,1.427635e+002,4.484315e-005,5.892615e-001,6.282161e-003,1.879017e+003,,,,,,,,,,,
,,,,,,,1.464625e+002,4.387537e-005,5.894256e-001,5.991347e-003,1.879039e+003,,,,,,,,,,,
,,,,,,,1.502573e+002,4.302202e-005,5.895904e-001,5.726447e-003,1.879062e+003,,,,,,,,,,,
,,,,,,,1.541504e+002,4.227240e-005,5.897564e-001,5.484564e-003,1.879083e+003,,,,,,,,,,,
,,,,,,,1.581445e+002,4.162378e-005,5.899239e-001,5.264019e-003,1.879105e+003,,,,,,,,,,,
,,,,,,,1.622420e+002,4.105259e-005,5.900932e-001,5.060661e-003,1.879126e+003,,,,,,,,,,,
,,,,,,,1.664457e+002,4.053474e-005,5.902647e-001,4.870627e-003,1.879147e+003,,,,,,,,,,,
,,,,,,,1.707583e+002,4.003286e-005,5.904384e-001,4.688833e-003,1.879167e+003,,,,,,,,,,,
,,,,,,,1.751826e+002,3.950314e-005,5.906144e-001,4.509938e-003,1.879188e+003,,,,,,,,,,,
,,,,,,,1.797216e+002,3.890133e-005,5.907924e-001,4.329066e-003,1.879208e+003,,,,,,,,,,,
,,,,,,,1.843782e+002,3.819539e-005,5.909719e-001,4.143157e-003,1.879228e+003,,,,,,,,,,,
,,,,,,,1.891554e+002,3.735900e-005,5.911524e-001,3.950085e-003,1.879247e+003,,,,,,,,,,,
,,,,,,,1.940564e+002,3.637011e-005,5.913332e-001,3.748406e-003,1.879266e+003,,,,,,,,,,,
,,,,,,,1.990844e+002,3.523590e-005,5.915132e-001,3.539796e-003,1.879284e+003,,,,,,,,,,,
,,,,,,,2.042427e+002,3.394219e-005,5.916917e-001,3.323712e-003,1.879302e+003,,,,,,,,,,,
,,,,,,,2.095346e+002,3.250183e-005,5.918676e-001,3.102288e-003,1.879319e+003,,,,,,,,,,,
,,,,,,,2.149636e+002,3.093235e-005,5.920398e-001,2.877915e-003,1.879335e+003,,,,,,,,,,,
,,,,,,,2.205333e+002,2.923103e-005,5.922075e-001,2.650940e-003,1.879350e+003,,,,,,,,,,,
,,,,,,,2.262473e+002,2.749689e-005,5.923696e-001,2.430693e-003,1.879365e+003,,,,,,,,,,,
