,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,,,,,,
,,,,,,,5.992706e+001,7.832546e-004,9.015427e-001,2.614026e-001,1.957573e+003,,,,,,,,,,,
,,,,,,,6.142375e+001,7.580631e-004,9.026959e-001,2.468306e-001,1.957954e+003,,,,,,,,,,,
,,,,,,,6.295782e+001,7.332652e-004,9.038398e-001,2.329386e-001,1.958321e+003,,,,,,,,,,,
,,,,,,,6.453020e+001,7.079984e-004,9.049730e-001,2.194317e-001,1.958677e+003,,,,,,,,,,,
,,,,,,,6.614185e+001,6.818202e-004,9.060931e-001,2.061691e-001,1.959020e+003,,,,,,,,,,,
,,,,,,,6.779375e+001,6.539803e-004,9.071965e-001,1.929323e-001,1.959350e+003,,,,,,,,,,,
,,,,,,,6.948691e+001,6.244317e-004,9.082789e-001,1.797264e-001,1.959665e+003,,,,,,,,,,,
,,,,,,,7.122236e+001,5.932315e-004,9.093357e-001,1.665857e-001,1.959965e+003,,,,,,,,,,,
,,,,,,,7.300115e+001,5.607114e-004,9.103620e-001,1.536171e-001,1.960250e+003,,,,,,,,,,,
,,,,,,,7.482436e+001,5.276567e-004,9.113541e-001,1.410387e-001,1.960519e+003,,,,,,,,,,,
,,,,,,,7.669311e+001,4.947629e-004,9.123092e-001,1.290241e-001,1.960771e+003,,,,,,,,,,,
,,,,,,,7.860853e+001,4.626839e-004,9.132258e-001,1.177185e-001,1.961007e+003,,,,,,,,,,,
,,,,,,,8.057179e+001,4.320220e-004,9.141037e-001,1.072390e-001,1.961228e+003,,,,,,,,,,,
,,,,,,,8.258409e+001,4.034310e-004,9.149436e-001,9.770188e-002,1.961434e+003,,,,,,,,,,,
,,,,,,,8.464664e+001,3.771319e-004,9.157480e-001,8.910735e-002,1.961626e+003,,,,,,,,,,,
,,,,,,,8.676070e+001,3.538843e-004,9.165200e-001,8.157711e-002,1.961806e+003,,,,,,,,,,,
,,,,,,,8.892756e+001,3.338461e-004,9.172644e-001,7.508270e-002,1.961976e+003,,,,,,,,,,,
,,,,,,,9.114854e+001,3.168630e-004,9.179863e-001,6.952672e-002,1.962136e+003,,,,,,,,,,,
,,,,,,,9.342499e+001,3.029255e-004,9.186912e-001,6.484892e-002,1.962289e+003,,,,,,,,,,,
,,,,,,,9.575829e+001,2.911897e-004,9.193839e-001,6.081765e-002,1.962435e+003,,,,,,,,,,,
,,,,,,,9.814987e+001,2.808860e-004,9.200677e-001,5.723614e-002,1.962576e+003,,,,,,,,,,,
,,,,,,,1.006012e+002,2.712565e-004,9.207444e-001,5.392710e-002,1.962713e+003,,,,,,,,,,,
,,,,,,,1.031137e+002,2.618980e-004,9.214142e-001,5.079791e-002,1.962844e+003,,,,,,,,,,,
,,,,,,,1.056890e+002,2.521665e-004,9.220762e-001,4.771860e-002,1.962971e+003,,,,,,,,,,,
,,,,,,,1.083286e+002,2.420957e-004,9.227285e-001,4.469655e-002,1.963093e+003,,,,,,,,,,,
,,,,,,,1.110341e+002,2.317304e-004,9.233695e-001,4.174041e-002,1.963210e+003,,,,,,,,,,,
,,,,,,,1.138072e+002,2.211777e-004,9.239974e-001,3.886883e-002,1.963322e+003,,,,,,,,,,,
,,,,,,,1.166496e+002,2.105661e-004,9.246110e-001,3.610234e-002,1.963428e+003,,,,,,,,,,,
,,,,,,,1.195629e+002,2.000610e-004,9.252090e-001,3.346540e-002,1.963529e+003,,,,,,,,,,,
